ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,94,98,153,47,94,127,94,90,49
0007CB0942,94,0,57,76,30,17,126,157,44,34
0007CB44CE,98,57,0,78,27,26,63,39,54,29
0007CB7051,153,76,78,0,42,50,93,42,41,94
0007CD6778,47,30,27,42,0,18,36,14,26,11
0007CD765E,94,17,26,50,18,0,21,29,23,12
0007CD77C5,127,126,63,93,36,21,0,110,86,31
0007CDADED,94,157,39,42,14,29,110,0,191,44
0007CDC443,90,44,54,41,26,23,86,191,0,38
0007CDDBAF,49,34,29,94,11,12,31,44,38,0
