ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,70,141,148,66,55,249,86,71,120
0007CB0942,70,0,92,33,11,8,114,41,20,31
0007CB44CE,141,92,0,78,44,25,186,42,18,58
0007CB7051,148,33,78,0,44,42,89,39,42,94
0007CD6778,66,11,44,44,0,9,35,27,18,34
0007CD765E,55,8,25,42,9,0,27,26,16,29
0007CD77C5,249,114,186,89,35,27,0,73,61,110
0007CDADED,86,41,42,39,27,26,73,0,51,35
0007CDC443,71,20,18,42,18,16,61,51,0,49
0007CDDBAF,120,31,58,94,34,29,110,35,49,0
