ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,41,32,28,41,183,165,38,58,103
0007CB0942,41,0,11,24,16,43,88,84,13,9
0007CB44CE,32,11,0,16,6,2,39,4,11,0
0007CB7051,28,24,16,0,19,46,48,27,10,67
0007CD6778,41,16,6,19,0,24,67,16,17,3
0007CD765E,183,43,2,46,24,0,43,13,11,27
0007CD77C5,165,88,39,48,67,43,0,120,82,55
0007CDADED,38,84,4,27,16,13,120,0,149,25
0007CDC443,58,13,11,10,17,11,82,149,0,38
0007CDDBAF,103,9,0,67,3,27,55,25,38,0
