ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,61,88,180,46,83,191,80,107,121
0007CB0942,61,0,86,58,28,18,124,77,33,34
0007CB44CE,88,86,0,89,38,20,145,60,60,98
0007CB7051,180,58,89,0,65,24,76,45,66,186
0007CD6778,46,28,38,65,0,4,31,11,82,30
0007CD765E,83,18,20,24,4,0,37,13,29,19
0007CD77C5,191,124,145,76,31,37,0,79,55,63
0007CDADED,80,77,60,45,11,13,79,0,100,39
0007CDC443,107,33,60,66,82,29,55,100,0,144
0007CDDBAF,121,34,98,186,30,19,63,39,144,0
