ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,21,179,35,21,41,192,52,38,54
0007CB0942,21,0,53,29,9,13,40,22,12,17
0007CB44CE,179,53,0,87,82,56,172,81,43,59
0007CB7051,35,29,87,0,13,22,53,21,10,41
0007CD6778,21,9,82,13,0,4,34,9,17,21
0007CD765E,41,13,56,22,4,0,38,11,23,19
0007CD77C5,192,40,172,53,34,38,0,86,48,58
0007CDADED,52,22,81,21,9,11,86,0,28,19
0007CDC443,38,12,43,10,17,23,48,28,0,18
0007CDDBAF,54,17,59,41,21,19,58,19,18,0
