ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,1,7,7,11,9,9,6,17,3
0007CB0942,5,0,1,1,3,1,9,13,3,3
0007CB2302,8,1,0,2,6,2,2,6,2,4
0007CB30A6,3,5,1,0,1,2,1,1,2,0
0007CB3713,12,3,11,0,0,4,5,2,3,3
0007CB47A6,9,6,1,2,0,0,19,11,8,1
0007CDDBAF,26,11,1,3,9,12,0,36,14,3
0007CDE223,22,15,4,2,3,3,25,0,12,6
0007CDEC0B,18,3,0,4,1,14,22,19,0,2
0007CE0327,1,2,1,0,1,6,2,8,3,0
