ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,31,47,12,23,47,37,43,62,17
0007CB0942,31,0,4,38,10,20,41,21,40,17
0007CB2302,47,4,0,28,7,3,10,13,21,7
0007CB30A6,12,38,28,0,11,22,25,36,20,21
0007CB3713,23,10,7,11,0,10,23,43,50,0
0007CB47A6,47,20,3,22,10,0,20,71,72,24
0007CDDBAF,37,41,10,25,23,20,0,118,54,21
0007CDE223,43,21,13,36,43,71,118,0,128,29
0007CDEC0B,62,40,21,20,50,72,54,128,0,11
0007CE0327,17,17,7,21,0,24,21,29,11,0
