ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,14,36,11,34,28,25,38,47,12
0007CB0942,14,0,0,14,6,5,62,44,30,11
0007CB2302,36,0,0,27,0,14,13,14,6,14
0007CB30A6,11,14,27,0,10,5,18,21,11,4
0007CB3713,34,6,0,10,0,29,23,8,28,17
0007CB47A6,28,5,14,5,29,0,36,39,34,29
0007CDDBAF,25,62,13,18,23,36,0,105,63,22
0007CDE223,38,44,14,21,8,39,105,0,124,49
0007CDEC0B,47,30,6,11,28,34,63,124,0,18
0007CE0327,12,11,14,4,17,29,22,49,18,0
